Block Height,Timestamp,Tx ID,Inputs,Outputs,Total Output ,Fee 
102,2011-10-13 03:06:12,31bea793a0953140739b3e0f7890555434af53df3e646ff1e69d7df63ea39133,0,1,50.0,0.0
103,2011-10-13 03:06:19,73f0919b9094d6d9db58f2eecaec79aaa5400f8efe3bd9625ba41dd233b31f8c,0,1,50.0,0.0
104,2011-10-13 03:06:21,6b1f160408ce5bf8250a06c9e75a821271429ceb4e1b98dcddad6b8291723189,0,1,50.0,0.0
105,2011-10-13 03:06:23,3661cf91dcf0fc7433a1c859d58f93c97a463f77b269509d4bb1d6ae77674d50,0,1,50.0,0.0
106,2011-10-13 03:06:29,afb8a98cfe1ec3f91307b6a4739aaa66871d5d0c5e9621d4e5c47c30f04f04a5,0,1,50.0,0.0
107,2011-10-13 03:06:30,83ab4718ebd7601ddfefb334627c9da82c4b977fef7fdac37eda2ffd8b8d95a4,0,1,50.0,0.0
108,2011-10-13 03:06:32,8edaf6a9d622c4e5181e2360c423fd0232d09c6a56acd0e33b39d4e31c33f714,0,1,50.0,0.0
109,2011-10-13 03:06:39,2d08ff3f3b904ee5410c6704928b13c7d68c43957bf85b8bae1a4da0e73810f0,0,1,50.0,0.0
110,2011-10-13 03:06:43,14c7c08a9a62107988127481d27e894f216e87c787be31f8da2aab0c3a1d08f4,0,1,50.0,0.0
111,2011-10-13 03:06:44,228848144fac0447fbb2cf54517ea023a1ed6b44d48e5b3ac6c59547eb0c4e01,0,1,50.0,0.0
112,2011-10-13 03:06:48,1a305ae96a165f9243d0cbd5a7325a2018f857d2731291ea5c7d54a261da93dc,0,1,50.0,0.0
113,2011-10-13 03:06:49,6881d6d3f1ab79f4491623ba73a339fbf801a4451624bbe7c52b59f082f2f632,0,1,50.0,0.0
114,2011-10-13 03:06:52,165eb158bdc4aca6dfdc42ce996b144930e6935e0336cfa41721223c47c8b632,0,1,50.0,0.0
115,2011-10-13 03:06:53,866a43baf4c942dc7b969fe75393aad57548ecfd6acbb7cce5194ab0205a4be9,0,1,50.0,0.0
116,2011-10-13 03:06:57,ded6328a62acd7a0bc261aaa70b96069544312886bcc9bdc49f579f08c80d393,0,1,50.0,0.0
117,2011-10-13 03:06:58,1a78eb16cb49a7e810466ebe8ea1b40eab203776bf8ed22aba46e3e256348c53,0,1,50.0,0.0
118,2011-10-13 03:07:03,6c8dbf51a87d6f35337f394e37ed6533bfb31f7f7c9c47e95b4b7b80a4697360,0,1,50.0,0.0
119,2011-10-13 03:07:05,4bba817e7c81eb5e84d2f4d5d1d3aeee6f06fbee0b5bbcb7b659652a13a5d6c9,0,1,50.0,0.0
120,2011-10-13 03:07:12,37e603fffa1c07c0e7e31c45349b385cec00483360cc5ad71d725467b38011bb,0,1,50.0,0.0
121,2011-10-13 03:07:14,d19dad4078362fa08509c53dc6b24f34d2da02c9beaa90dfb5f75d4911e104da,0,1,50.0,0.0
122,2011-10-13 03:07:16,5e781a3d5610574b63b8236679285d24ff33e341c1eac9ed8ca8343a75ce0874,0,1,50.0,0.0
123,2011-10-13 03:07:19,f5e5e2ecdb9da89c08d76fdb73551e429763b2cd8fcbc192be7b302aad3c4bfb,0,1,50.0,0.0
124,2011-10-13 03:07:20,1df9a5db8f3dbeac96d3b20cab807634b34ecea5915d5dbdadca95b1c8ec8c41,0,1,50.0,0.0
125,2011-10-13 03:07:22,fd9a3c4a17b73f3b08a92618bdcb2143f79f70b9253f1da09bb1028635f92f6d,0,1,50.0,0.0
126,2011-10-13 03:07:27,16f21cabcd4f24ec5328a17ee2024e0de127f95ea11c056f0e26edb2532111bc,0,1,50.0,0.0
127,2011-10-13 03:07:29,8dbdb7ee1a59494438483d009ba0e67aa1d6268e171a7c32d26c9f654b274295,0,1,50.0,0.0
128,2011-10-13 03:07:32,1a56082d7d0018c69d1217b230e34dde1ea39c1ca89d713eb75b6b85ab742bc5,0,1,50.0,0.0
129,2011-10-13 03:07:36,3c757adc3cb2c7d2702cf2ba423718b3cb17d5a4b6a9979c4e995b6a6a995922,0,1,50.0,0.0
130,2011-10-13 03:07:39,b2ec413498cae899fd719cad44fc40902d03771b574cf4a6ce3f59318ba3a7e0,0,1,50.0,0.0
131,2011-10-13 03:07:46,ec03612c4c9e23eb5973ac1ec02ffe772eef3a867f8d0a4692b119cb21444031,0,1,50.0,0.0
132,2011-10-13 03:07:48,706edc39ea6e5db0179de9a7719a48f44709b913105fad12a0e1e56bb43ce967,0,1,50.0,0.0
