Height,Timestamp,Size (bytes),Hash,Difficulty
47,2011-10-13 03:03:10,215,495753d8f73a52fb0fe6d88b89f12ed3701939676f61352f06708b666882dfdc,504365040
48,2011-10-13 03:03:15,215,638f1be6872614e416ddeeac084ad425974f66a0372f61d125fe0baa653d8caa,504365040
49,2011-10-13 03:03:18,215,3db4f660b0302fb8b173b88dfaf99b38bee20e81bf67adc04600b2658ce5656d,504365040
50,2011-10-13 03:03:18,215,83c7a1a34d365f47cef46a17685e495830a25a6416351919d5c42396d44f3c37,504365040
51,2011-10-13 03:03:25,215,fa7d6fbfc9795bd4bddc27c512eb27c5254db24665c648763a9d98cdf1573105,504365040
52,2011-10-13 03:03:28,215,5d6163b23e8eaf94f740cb624484e7bb359edf0d0c2b946b87e452ec763b4265,504365040
53,2011-10-13 03:03:31,215,bb41312ff2ea4b35e877f0ee4e42599ba07504cf150037523680768e1b70d8f6,504365040
54,2011-10-13 03:03:32,215,ddee367089dac618a87eecd2ce8a59c28f0623b4d2bfe431544ff8aa40341117,504365040
55,2011-10-13 03:03:34,215,44c9f9c1a0039ffb23b8511d0b39c76b5c8c682538a2fd174f279e14d5019f43,504365040
56,2011-10-13 03:03:35,215,e179a3ebfe091365911676b7af7c2a64b1e43b61301124aabe2bf456e01e85b6,504365040
57,2011-10-13 03:03:39,215,340c9f6ab400b0f2462a7956d83e128eab828d56a85306293d804495da6bca20,504365040
58,2011-10-13 03:03:45,215,91bc3cdbd8125d3fe01d58adeafda9341e682d6b587919521710992357c6cc76,504365040
59,2011-10-13 03:03:47,215,04878dd2c250b99f0e072f68f69eb5580776d33c189f5552ddd2f15edcb23063,504365040
60,2011-10-13 03:03:56,216,f9bdf99980df75f9b85850098394caff3cc19d489454e83d3d6ef690528281a3,504365040
61,2011-10-13 03:03:59,215,992b41cf5297a4e707221b6120f2db1edcd285843041bf6791134bc88ebe818d,504365040
62,2011-10-13 03:04:05,215,d67f991e8e582be6bef5e3daef4e3a833d8eab6ba51a28266f5f5d3f4fad61cb,504365040
63,2011-10-13 03:04:09,215,88c6af8e7333cc1261f1895ddccde4ce21e141090f31473173318ee64e8dceb1,504365040
64,2011-10-13 03:04:14,216,3048e079eb1d81ccf2426e5017cc5fa936ccfe494ea5a6a2e3ac086b68525254,504365040
65,2011-10-13 03:04:16,215,b978b355f632510b39693d036a3d2334da3b53bd47eeefc9fdc52693fc302486,504365040
66,2011-10-13 03:04:20,215,38f71d8399b034babb823178fa91db7915f87feeef913f21ea39b01408355de6,504365040
67,2011-10-13 03:04:23,215,59090008f632643daa72abd8ce0cca3c6e5bd96cdf265747adc992ad0b33de2c,504365040
68,2011-10-13 03:04:25,215,50328d79913f4699d2eaefed237d779df8f8f1b45aa25ff6ffdd4c1dfe8f8989,504365040
69,2011-10-13 03:04:26,215,dbb73207d1edd52d3ba5b6e5bbd26f6f158dc61ceb25b9400e2f0b6c617dab0f,504365040
70,2011-10-13 03:04:30,215,94185b32a87df8368363de0d31b975e76f38c7f530b140bfd642aa448a3ff9d8,504365040
71,2011-10-13 03:04:32,215,8c710a90e3cfb9c6d89f2bcd6f4a3844c9e18d0b7e3d37eb9af908f420c6ea27,504365040
72,2011-10-13 03:04:37,215,7c19aa08fd654132937e1366ed929f403343a9ff2e537669bdfad857ce301f2b,504365040
73,2011-10-13 03:04:42,215,605f41a7cf1dc01a8f1da518394a0e5d26e4c25115c3f16eed38b05e6b532df1,504365040
